Highest Charting Position,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
17,0.695,0.575,-6.334,0.116,0.198,0.0614,163.929,173160
33,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280
2,0.746,0.765,-4.41,0.0993,0.0112,0.0936,114.044,199054
9,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000
46,0.595,0.784,-4.878,0.102,0.216,0.0608,124.111,183726
1,0.701,0.716,-3.671,0.0361,0.174,0.324,91.007,140533
48,0.729,0.513,-6.345,0.0455,0.494,0.137,170.064,192353
29,0.839,0.711,-4.733,0.0473,0.398,0.118,97.99,349547
20,0.855,0.463,-7.454,0.0367,0.217,0.347,102.931,122773
19,0.627,0.849,-3.167,0.153,0.0913,0.145,89.907,158087
52,0.75,0.522,-7.018,0.0293,0.282,0.0743,110.427,321556
19,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777
40,0.83,0.839,-6.985,0.0699,0.00201,0.0353,128.012,345543
52,0.721,0.738,-4.77,0.0403,0.00226,0.118,119.976,154983
56,0.345,0.941,-9.918,0.0466,3.84e-05,0.0511,179.626,147062
57,0.668,0.887,-4.404,0.0564,0.369,0.257,151.92,157176
31,0.54,0.455,-5.988,0.224,0.675,0.12,83.876,212032
34,0.713,0.676,-5.483,0.027,0.0377,0.154,99.048,227395
31,0.682,0.72,-8.173,0.0381,0.326,0.148,117.003,169011
46,0.95,0.693,-3.424,0.0898,0.0133,0.173,130.02,184635
26,0.669,0.784,-5.603,0.112,0.194,0.115,125.993,150053
9,0.672,0.526,-6.446,0.0599,0.0311,0.28,123.999,143747
2,0.65,0.825,-4.645,0.0325,0.0215,0.0936,118.091,191014
8,0.449,0.465,-8.964,0.0791,0.524,0.303,89.087,198371
2,0.793,0.793,-4.521,0.083,0.0123,0.0951,123.95,183290
33,0.708,0.782,-4.687,0.0674,0.00772,0.107,119.997,160880
35,0.612,0.807,-2.81,0.0336,0.0495,0.101,124.053,240400
69,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181
12,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161
71,0.833,0.498,-5.196,0.117,0.0493,0.119,139.928,153406
72,0.829,0.512,-5.865,0.187,0.492,0.12,80.511,123987
33,0.635,0.706,-3.224,0.125,0.256,0.108,88.863,209160
74,0.77,0.899,-2.981,0.0494,0.222,0.0894,128.05,231604
75,0.727,0.681,-7.114,0.0265,0.00214,0.0861,123.028,241970
12,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787
2,0.653,0.524,-9.016,0.0502,0.112,0.203,83.97,160191
9,0.727,0.546,-4.572,0.0437,0.656,0.122,106.891,197333
7,0.849,0.701,-4.407,0.06,0.407,0.112,98.005,261667
1,0.824,0.588,-6.4,0.0924,0.692,0.149,98.027,209438
7,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385
6,0.578,0.449,-6.349,0.286,0.0618,0.119,136.006,192956
83,0.694,0.948,-5.307,0.0361,0.00936,0.139,115.044,58149
76,0.659,0.667,-4.668,0.0339,0.00173,0.1,115.982,258004
32,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803
11,0.734,0.874,-3.158,0.0662,0.168,0.0489,122.953,166028
42,0.671,0.782,-4.593,0.0341,0.0142,0.333,123.989,178088
78,0.862,0.753,-5.356,0.0625,0.131,0.077,105.039,182857
89,0.797,0.573,-7.85,0.319,0.159,0.144,124.995,206629
23,0.45,0.329,-12.603,0.0441,0.818,0.135,71.884,183624
55,0.818,0.673,-7.542,0.148,0.348,0.172,87.961,193636
1,0.737,0.802,-4.771,0.0878,0.468,0.0931,144.015,172325
6,0.695,0.762,-3.497,0.0395,0.192,0.0863,120.042,215280
94,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,144264
75,0.908,0.813,-2.749,0.0777,0.305,0.278,97.018,200785
96,0.915,0.72,-3.126,0.0459,0.025,0.0942,126.986,131067
97,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627
60,0.39,0.83,-5.201,0.0563,0.0021,0.156,90.021,168030
99,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733
22,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107
52,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064
85,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385
103,0.769,0.812,-2.088,0.0825,0.281,0.0781,180.003,280274
88,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347
2,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429
45,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867
3,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867
59,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510
109,0.93,0.837,-4.632,0.187,0.256,0.239,111.898,158532
110,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429
46,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186
24,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,158040
113,0.663,0.434,-11.177,0.0648,0.828,0.249,109.075,171743
9,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987
80,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672
116,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221
80,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713
9,0.759,0.54,-6.039,0.0287,0.037,0.0945,116.947,190960
5,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813
99,0.599,0.448,-6.312,0.0232,0.163,0.106,95.05,263400
80,0.818,0.812,-4.425,0.0475,0.112,0.234,139.966,231708
2,0.856,0.618,-4.892,0.286,0.0303,0.0866,81.993,203201
1,0.746,0.69,-7.956,0.164,0.247,0.101,89.977,181733
12,0.357,0.425,-7.301,0.0333,0.584,0.322,102.078,198040
13,0.667,0.373,-9.389,0.05,0.785,0.0906,124.148,169266
126,0.527,0.835,-5.298,0.0433,0.0166,0.249,125.983,176658
122,0.484,0.731,-6.694,0.0379,0.431,0.151,101.654,204280
128,0.502,0.912,-4.556,0.0564,2.55e-05,0.106,116.761,301920
11,0.638,0.259,-10.706,0.0898,0.753,0.219,88.485,202827
99,0.588,0.521,-9.461,0.0329,0.0678,0.123,85.012,260173
131,0.682,0.873,-4.163,0.0449,0.402,0.0946,150.006,147072
19,0.584,0.859,-5.616,0.121,0.0144,0.847,77.005,236883
4,0.775,0.327,-7.241,0.0557,0.841,0.0821,91.05,189486
76,0.445,0.537,-8.532,0.04,0.695,0.0941,122.764,244360
135,0.558,0.454,-5.335,0.0551,0.499,0.146,113.12,158594
108,0.566,0.664,-5.303,0.0464,0.634,0.116,128.945,241693
110,0.689,0.706,-4.48,0.0312,0.0833,0.105,106.52,226268
138,0.774,0.732,-4.227,0.0308,0.108,0.243,135.005,192725
14,0.868,0.795,-6.044,0.269,0.0012,0.0461,166,156945
2,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482
141,0.39,0.534,-9.575,0.0709,0.0807,0.184,92.047,198765
81,0.392,0.402,-9.961,0.0536,0.288,0.243,143.883,354320
5,0.713,0.617,-4.637,0.0887,0.122,0.0962,168.021,232853
25,0.632,0.595,-7.644,0.0401,0.0689,0.209,124.114,167903
13,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803
90,0.734,0.855,-4.578,0.135,0.0821,0.0901,121.955,139563
100,0.871,0.815,-4.439,0.0477,0.127,0.094,122.959,176575
59,0.572,0.385,-6.362,0.0308,0.371,0.231,95.799,215733
110,0.672,0.717,-7.476,0.226,0.103,0.398,157.905,180380
103,0.631,0.861,-1.891,0.0424,0.427,0.215,149.95,173038
147,0.664,0.705,-4.972,0.0382,0.0654,0.115,122.017,257840
121,0.429,0.661,-7.227,0.0281,0.00239,0.234,173.372,266773
153,0.843,0.534,-6.658,0.142,0.467,0.0984,94.984,173053
154,0.667,0.899,-4.402,0.0322,0.423,0.332,147.962,239928
142,0.532,0.783,-5.697,0.0523,0.0038,0.161,124.08,247427
128,0.65,0.792,-3.825,0.0393,0.607,0.92,154.027,225672
68,0.808,0.66,-6.237,0.0395,0.0358,0.138,107.994,235556
6,0.709,0.548,-8.493,0.353,0.65,0.133,83.995,160000
19,0.521,0.277,-10.34,0.0356,0.634,0.103,115.01,248827
121,0.933,0.656,-5.85,0.322,0.129,0.161,119.987,159083
120,0.902,0.669,-5.049,0.457,0.161,0.0728,139.949,112547
31,0.511,0.566,-7.23,0.2,0.349,0.34,83.903,239836
4,0.907,0.393,-7.636,0.0539,0.451,0.135,104.949,205458
13,0.701,0.425,-10.965,0.375,0.328,0.1,135.128,194088
59,0.476,0.594,-6.879,0.135,0.0599,0.0785,159.702,141050
7,0.823,0.586,-6.606,0.2,0.114,0.193,125.971,190476
13,0.473,0.203,-12.627,0.102,0.941,0.126,168.884,163587
1,0.935,0.454,-7.509,0.375,0.0194,0.0824,133.073,187541
155,0.356,0.924,-3.74,0.0808,0.00101,0.0953,148.017,222587
144,0.82,0.452,-9.796,0.0348,0.543,0.0714,117.401,253920
20,0.828,0.492,-9.744,0.0276,0.0644,0.128,120.151,257800
94,0.358,0.557,-7.398,0.059,0.695,0.0902,85.043,211467
110,0.74,0.576,-6.744,0.146,0.0249,0.104,110.095,209476
65,0.716,0.67,-6.995,0.101,0.526,0.13,145.043,203586
72,0.675,0.608,-6.934,0.103,0.336,0.11,99.865,184800
4,0.726,0.431,-8.765,0.135,0.731,0.696,144.026,173333
100,0.595,0.759,-4.245,0.0423,0.141,0.172,80.953,163733
138,0.933,0.528,-6.472,0.162,0.112,0.163,109.975,214653
149,0.792,0.625,-5.609,0.0536,0.00776,0.329,103.967,173987
15,0.676,0.771,-3.675,0.0483,0.0237,0.102,99.048,207133
181,0.422,0.25,-6.836,0.0351,0.441,0.35,124.026,161613
183,0.649,0.76,-6.487,0.0574,0.114,0.317,80.018,161853
184,0.765,0.625,-3.599,0.0548,0.584,0.112,102.101,164706
110,0.422,0.264,-7.064,0.0322,0.922,0.132,119.93,269560
80,0.832,0.534,-7.813,0.253,0.345,0.165,93.924,132833
40,0.548,0.805,-5.732,0.351,0.212,0.408,142.094,216387
45,0.84,0.766,-4.12,0.136,0.00302,0.0684,94.018,155884
52,0.585,0.564,-7.063,0.0515,0.0671,0.135,113.003,242253
5,0.436,0.655,-8.37,0.0583,0.499,0.688,121.002,279204
191,0.638,0.878,-3.639,0.0484,0.0151,0.308,103.948,176800
64,0.592,0.494,-10.618,0.0747,0.237,0.13,132.037,209771
41,0.778,0.317,-10.732,0.334,0.592,0.0881,140.048,178627
194,0.571,0.767,-5.16,0.287,0.336,0.0809,93.421,161684
149,0.525,0.448,-4.075,0.0443,0.14,0.0922,83.406,140308
8,0.789,0.72,-5.652,0.218,0.223,0.129,122.031,166794
197,0.43,0.467,-8.56,0.051,0.775,0.0933,77.249,186121
58,0.643,0.403,-11.254,0.41,0.343,0.138,98.54,174682
199,0.961,0.502,-8.605,0.312,0.28,0.145,117.078,182285
172,0.949,0.661,-4.244,0.0572,0.0302,0.0454,104.504,284200
66,0.662,0.686,-8.302,0.332,0.251,0.349,143.971,215000
87,0.563,0.672,-7.226,0.0765,0.359,0.0972,99.772,156000
116,0.437,0.527,-6.967,0.465,0.185,0.153,187.815,181714
127,0.628,0.581,-8.377,0.188,0.46,0.152,145.396,120828
129,0.912,0.589,-7.476,0.2,0.0332,0.0795,135.921,123549
76,0.356,0.684,-7.347,0.0878,0.152,0.101,87.188,193733
150,0.441,0.623,-7.331,0.0414,0.135,0.14,78.082,249231
159,0.723,0.667,-7.524,0.351,0.256,0.261,143.044,208112
22,0.493,0.653,-5.666,0.0466,0.269,0.511,142.347,121573
105,0.787,0.531,-10.569,0.101,0.132,0.112,91.996,138533
17,0.883,0.674,-8.043,0.357,0.21,0.0678,141.02,278085
180,0.654,0.724,-6.59,0.355,0.106,0.655,71.696,150449
13,0.83,0.517,-6.416,0.333,0.399,0.0916,171.959,182496
175,0.477,0.844,-4.87,0.0458,0.00273,0.137,169.941,220235
20,0.88,0.751,-4.258,0.0874,0.177,0.106,117.948,157606
15,0.671,0.336,-8.494,0.241,0.705,0.0577,75.051,212496
193,0.741,0.556,-9.184,0.0266,0.0629,0.103,122.008,249080
71,0.626,0.56,-5.82,0.0288,0.148,0.109,93.989,244005
79,0.601,0.36,-7.791,0.0877,0.586,0.0882,124.993,276480
122,0.792,0.707,-5.218,0.0623,0.116,0.12,134.997,224042
75,0.542,0.732,-5.956,0.0521,0.00209,0.496,124.912,175644
22,0.722,0.588,-5.932,0.0544,0.0319,0.183,134.01,165507
4,0.566,0.716,-5.733,0.0424,0.00691,0.37,81.068,207481
28,0.816,0.71,-3.728,0.0398,0.165,0.292,93.02,208631
17,0.823,0.544,-7.132,0.0715,0.0215,0.0966,149.903,186088
164,0.784,0.474,-6.139,0.0524,0.333,0.278,128.012,204434
22,0.443,0.298,-12.181,0.0644,0.388,0.103,77.253,209560
169,0.624,0.922,-4.628,0.0439,0.3,0.112,164.819,148228
80,0.688,0.909,-1.992,0.0624,0.0474,0.0674,97.097,210573
184,0.893,0.463,-5.301,0.36,0.199,0.318,81.026,229601
187,0.434,0.889,-5.684,0.0509,0.395,0.273,113.326,153338
183,0.76,0.674,-4.039,0.0636,0.396,0.0977,172.024,202307
71,0.583,0.918,-3.612,0.0518,0.288,0.0701,164.081,172973
95,0.807,0.712,-5.757,0.1,0.532,0.163,100.004,241659
184,0.704,0.739,-3.286,0.112,0.328,0.0856,179.879,208292
141,0.748,0.524,-5.599,0.0338,0.414,0.111,95.01,244960
194,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773
101,0.652,0.717,-3.751,0.0581,0.0694,0.0906,89.982,301304
55,0.683,0.615,-5.737,0.0966,0.222,0.154,77.014,188893
132,0.532,0.708,-8.121,0.0505,0.435,0.107,167.977,254467
40,0.827,0.571,-7.949,0.366,0.0195,0.166,142.034,146419
152,0.352,0.424,-10.131,0.0394,0.733,0.0664,127.047,302951
101,0.477,0.727,-4.053,0.286,0.000866,0.108,150.062,236524
72,0.647,0.608,-6.831,0.42,0.13,0.0584,125.994,175238
25,0.735,0.47,-9.405,0.1,0.266,0.32,87.971,192621
4,0.632,0.284,-14.025,0.0801,0.932,0.233,129.642,245897
189,0.871,0.669,-7.62,0.329,0.0113,0.0795,95.939,155363
8,0.719,0.648,-7.6,0.125,0.2,0.127,140.201,123263
55,0.606,0.908,-6.201,0.0565,0.556,0.19,171.966,140942
11,0.781,0.67,-3.912,0.0452,0.0103,0.0761,127.99,169333
136,0.646,0.795,-3.293,0.0976,0.0319,0.267,89.99,210960
32,0.823,0.537,-2.639,0.209,0.176,0.123,175.946,231595
81,0.733,0.736,-5.123,0.111,0.028,0.131,147.897,166216
101,0.783,0.524,-6.455,0.0554,0.241,0.271,117.496,164896
117,0.548,0.532,-7.596,0.0323,0.186,0.217,85.03,272394
43,0.386,0.762,-6.341,0.564,0.122,0.527,170.691,138312
47,0.62,0.586,-6.612,0.212,0.155,0.535,137.131,130980
59,0.371,0.75,-5.382,0.402,0.601,0.482,173.456,155293
63,0.703,0.845,-4.851,0.337,0.169,0.122,97.672,146482
69,0.468,0.652,-4.912,0.0722,0.333,0.55,140.223,588139
73,0.467,0.635,-6.115,0.154,0.314,0.844,127.596,88625
82,0.685,0.855,-6.724,0.438,0.329,0.301,157.181,223719
85,0.665,0.469,-7.778,0.13,0.565,0.219,115.852,229565
108,0.454,0.866,-5.348,0.391,0.121,0.167,92.463,175123
121,0.912,0.655,-6.029,0.162,0.315,0.0894,91.942,138293
132,0.555,0.712,-7.446,0.323,0.0451,0.182,78.958,515865
141,0.766,0.814,-3.367,0.0733,0.044,0.195,108.07,203588
165,0.733,0.862,-5.736,0.197,0.374,0.131,111.076,223560
50,0.927,0.538,-3.917,0.116,0.0312,0.0945,125.983,278191
176,0.619,0.707,-5.791,0.0499,0.0366,0.13,168.995,212947
179,0.678,0.531,-5.029,0.0374,0.126,0.377,99.008,177373
138,0.527,0.764,-4.297,0.322,0.016,0.0273,184.339,175924
10,0.571,0.693,-8.234,0.0545,0.00536,0.173,168.169,232253
1,0.767,0.481,-8.52,0.0803,0.234,0.269,150.076,171375
59,0.813,0.809,-5.382,0.0846,0.102,0.377,93.005,393280
17,0.725,0.756,-5.013,0.0572,0.362,0.103,100.07,186133
146,0.783,0.435,-7.78,0.0588,0.282,0.0833,106.974,210220
112,0.624,0.802,-4.818,0.311,0.0597,0.252,133.888,189933
11,0.861,0.656,-7.867,0.425,0.104,0.0986,88.967,218210
6,0.597,0.587,-7.026,0.137,0.0622,0.214,140.021,218802
96,0.872,0.391,-9.144,0.242,0.469,0.297,134.021,119133
66,0.479,0.645,-7.336,0.302,0.135,0.0825,155.057,168729
1,0.896,0.586,-6.687,0.0559,0.104,0.79,116.971,196653
31,0.722,0.893,-3.255,0.0475,0.0441,0.0673,119.932,116750
170,0.641,0.922,-4.457,0.0786,0.0291,0.0862,146.078,258343
6,0.686,0.538,-8.026,0.0345,0.181,0.113,115.884,190779
39,0.731,0.675,-5.134,0.0434,0.00473,0.141,124.939,139461
133,0.637,0.843,-5.413,0.0432,0.0151,0.0876,109.012,220733
17,0.598,0.427,-8.764,0.0317,0.0546,0.21,76.469,175721
7,0.73,0.729,-3.434,0.0884,0.167,0.349,113.011,221820
2,0.761,0.518,-8.871,0.134,0.244,0.107,133.976,261493
175,0.66,0.733,-4.619,0.0359,0.248,0.17,119.933,217000
23,0.585,0.611,-4.132,0.288,0.39,0.649,97.041,218107
176,0.556,0.864,-5.87,0.0584,0.00958,0.209,105.143,216880
119,0.692,0.521,-8.465,0.33,0.301,0.0565,100.45,292987
7,0.834,0.73,-3.714,0.222,0.00513,0.124,155.008,312820
161,0.617,0.635,-6.769,0.0317,0.0498,0.164,103.019,247160
84,0.691,0.695,-5.6,0.0367,0.0592,0.0647,106.064,233386
84,0.847,0.629,-5.81,0.102,0.0318,0.152,135.976,255532
71,0.752,0.563,-8.066,0.209,0.146,0.103,145.05,178776
106,0.506,0.563,-7.664,0.411,0.0326,0.0856,168.146,190509
124,0.766,0.706,-6.553,0.16,0.223,0.064,142.989,172598
128,0.917,0.623,-8.231,0.135,0.0985,0.0833,126.063,206272
59,0.614,0.934,-3.709,0.07,0.0697,0.121,116.001,174760
166,0.831,0.719,-6.836,0.235,0.514,0.0675,155.038,248652
36,0.965,0.485,-8.784,0.191,0.0206,0.0655,124.025,222523
179,0.734,0.712,-6.217,0.201,0.391,0.103,140.369,165405
181,0.87,0.629,-7.598,0.279,0.173,0.101,134.944,241790
2,0.889,0.34,-7.773,0.0697,0.218,0.055,94.009,174321
12,0.811,0.637,-4.835,0.0591,0.234,0.118,92.025,130014
108,0.75,0.668,-4.49,0.061,0.78,0.338,94.998,159147
39,0.507,0.828,-6.023,0.0449,0.00711,0.261,178.032,211295
54,0.551,0.636,-6.798,0.054,0.0837,0.112,174.065,168276
195,0.522,0.466,-8.05,0.458,0.331,0.11,78.43,137692
1,0.672,0.855,-3.764,0.0397,0.021,0.323,123.056,182200
97,0.596,0.65,-5.167,0.337,0.138,0.14,133.997,257428
117,0.591,0.831,-6.612,0.0355,0.235,0.0571,93.007,187307
126,0.596,0.65,-5.167,0.337,0.138,0.14,133.997,257428
134,0.584,0.836,-4.925,0.079,0.0558,0.0663,104.973,202204
10,0.725,0.713,-6.173,0.187,0.127,0.617,65.988,148421
72,0.807,0.659,-6.92,0.332,0.0224,0.309,82.465,168727
27,0.887,0.485,-9.358,0.2,0.0392,0.141,125.987,215693
21,0.736,0.632,-4.939,0.0648,0.18,0.349,92.03,216107
47,0.448,0.838,-5.257,0.0557,0.21,0.131,139.863,208907
127,0.363,0.678,-4.939,0.0995,0.0299,0.324,162.124,300413
3,0.863,0.666,-4.158,0.152,0.212,0.103,163.908,178947
96,0.964,0.398,-8.981,0.0795,0.00151,0.101,105.012,178405
170,0.924,0.73,-6.125,0.274,0.0525,0.113,99.01,236666
105,0.81,0.789,-4.032,0.0498,0.0254,0.104,129.988,150462
108,0.671,0.529,-7.226,0.307,0.0769,0.0856,161.989,165820
175,0.663,0.545,-3.93,0.036,0.123,0.106,78.452,196147
85,0.645,0.862,-4.757,0.0965,0.0923,0.192,119.991,229773
82,0.747,0.725,-2.564,0.363,0.551,0.0626,129.96,125558
4,0.808,0.745,-5.26,0.342,0.145,0.292,165.995,210800
8,0.774,0.554,-7.909,0.0383,0.207,0.132,99.034,162547
129,0.864,0.495,-7.036,0.037,0.591,0.0992,129.062,244973
4,0.673,0.704,-8.056,0.36,0.196,0.0898,86.919,212093
200,0.852,0.62,-5.79,0.227,0.359,0.101,92.464,155676
15,0.77,0.574,-5.525,0.106,0.0617,0.104,98.962,133022
95,0.429,0.387,-7.486,0.0753,0.000178,0.142,109.893,162147
25,0.499,0.709,-6.404,0.134,0.296,0.331,164.032,214621
106,0.447,0.337,-8.665,0.0631,0.773,0.298,135.379,176816
53,0.588,0.856,-5.242,0.0316,0.000818,0.238,96.966,175044
118,0.687,0.89,-5.99,0.0344,0.00396,0.0436,113.06,172232
18,0.713,0.793,-5.277,0.397,0.271,0.727,71.724,196946
67,0.573,0.867,-2.876,0.168,0.0853,0.38,74.861,339506
134,0.571,0.955,-3.795,0.105,0.00254,0.274,98.01,177790
137,0.527,0.737,-5.34,0.0642,0.05,0.105,116.431,172675
69,0.847,0.814,-4.668,0.152,0.0825,0.0948,140.057,172359
27,0.583,0.625,-8.011,0.277,0.506,0.196,89.812,266291
2,0.781,0.594,-6.959,0.0485,0.0136,0.162,129.895,178154
154,0.597,0.571,-6.205,0.293,0.492,0.093,106.196,218448
91,0.637,0.929,-3.593,0.0491,0.00167,0.344,80.974,147351
195,0.534,0.365,-9.187,0.033,0.81,0.158,123.466,183707
64,0.808,0.639,-7.266,0.279,0.0802,0.15,118,144349
198,0.636,0.749,-4.197,0.0631,0.195,0.107,117.904,174936
199,0.798,0.621,-6.916,0.0391,0.0141,0.0926,123.038,166000
127,0.7,0.664,-8.211,0.0394,0.306,0.249,142.009,223066
25,0.699,0.759,-5.302,0.311,0.0814,0.312,83.092,177337
30,0.711,0.647,-5.667,0.0822,0.334,0.312,125.092,163302
32,0.769,0.74,-6.579,0.378,0.197,0.171,94.104,112579
36,0.618,0.632,-6.973,0.346,0.0526,0.353,81.446,306257
48,0.563,0.703,-5.756,0.0702,0.126,0.213,94.983,238972
55,0.597,0.587,-7.026,0.137,0.0622,0.214,140.021,218802
34,0.655,0.469,-6.257,0.0292,0.173,0.0956,92.56,161385
92,0.83,0.748,-5.362,0.162,0.354,0.0992,133.028,177443
87,0.739,0.788,-5.198,0.0731,0.0513,0.282,175.996,324426
148,0.495,0.856,-5.123,0.0311,0.000219,0.103,158.024,154667
5,0.567,0.267,-6.502,0.0299,0.839,0.089,110.011,240133
182,0.828,0.83,-3.371,0.047,0.348,0.0613,95.007,195066
58,0.824,0.837,-4.603,0.107,0.573,0.271,100.021,289933
110,0.773,0.8,-3.17,0.0987,0.0613,0.0327,89.988,184507
5,0.631,0.239,-7.071,0.0398,0.864,0.116,79.859,149297
77,0.72,0.744,-6.938,0.12,0.237,0.255,78.953,243773
38,0.464,0.473,-10.086,0.129,0.866,0.109,75.801,208687
47,0.757,0.721,-2.906,0.0691,0.00196,0.647,124.036,165366
61,0.883,0.674,-8.043,0.357,0.21,0.0678,141.02,278085
10,0.704,0.225,-14.454,0.0994,0.901,0.106,120.006,245426
169,0.664,0.655,-7.327,0.0461,0.059,0.17,129.987,217609
115,0.553,0.819,-3.083,0.257,0.368,0.0915,87.913,192348
19,0.81,0.511,-6.924,0.164,0.12,0.0832,151.947,154998
71,0.813,0.415,-5.926,0.0349,0.777,0.131,91.921,170345
3,0.676,0.609,-5.831,0.481,0.0706,0.152,142.037,237735
184,0.863,0.739,-5.879,0.153,0.0289,0.0931,129.964,174021
7,0.65,0.613,-6.13,0.128,0.00336,0.267,149.972,194621
164,0.728,0.689,-5.718,0.0725,0.293,0.109,170.089,197647
82,0.808,0.796,-3.169,0.0305,0.462,0.155,128.048,175047
66,0.788,0.789,-2.39,0.124,0.397,0.226,167.897,179005
4,0.625,0.814,-5.181,0.0657,0.0172,0.158,144.991,205485
71,0.685,0.692,-5.122,0.0457,0.328,0.153,159.966,240051
199,0.686,0.789,-4.103,0.126,0.322,0.4,157.932,157355
53,0.748,0.734,-6.499,0.124,0.524,0.0975,97.753,80081
72,0.89,0.701,-5.712,0.342,0.00306,0.0895,80.462,225020
113,0.517,0.848,-4.054,0.0521,0.00581,0.214,95.906,188779
7,0.8,0.56,-4.818,0.261,0.057,0.134,163.071,200221
122,0.877,0.444,-7.547,0.172,0.24,0.169,129.06,165527
